pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████| 53/53 [00:38<00:00,  1.38it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:06, 14.87it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126400 number of indices sampled from imagenet.
new epoch: 2
Train: [2][60/1040]	BT 0.196 (0.234)	DT 0.000 (0.037)	loss 4.463 (4.425)
Train: [2][70/1040]	BT 0.196 (0.228)	DT 0.000 (0.032)	loss 4.383 (4.419)
Train: [2][80/1040]	BT 0.196 (0.224)	DT 0.000 (0.028)	loss 4.275 (4.409)
Train: [2][90/1040]	BT 0.197 (0.221)	DT 0.000 (0.025)	loss 4.359 (4.406)
Train: [2][100/1040]	BT 0.196 (0.219)	DT 0.000 (0.022)	loss 4.137 (4.400)
Train: [2][110/1040]	BT 0.196 (0.217)	DT 0.000 (0.020)	loss 4.392 (4.402)
Train: [2][120/1040]	BT 0.196 (0.215)	DT 0.000 (0.019)	loss 4.380 (4.401)
Train: [2][130/1040]	BT 0.197 (0.213)	DT 0.000 (0.017)	loss 4.261 (4.397)
Train: [2][140/1040]	BT 0.196 (0.212)	DT 0.000 (0.016)	loss 4.272 (4.394)
Train: [2][150/1040]	BT 0.196 (0.211)	DT 0.000 (0.015)	loss 4.364 (4.391)
Train: [2][160/1040]	BT 0.197 (0.210)	DT 0.000 (0.014)	loss 4.261 (4.389)
Train: [2][170/1040]	BT 0.197 (0.209)	DT 0.000 (0.013)	loss 4.406 (4.388)
Train: [2][180/1040]	BT 0.196 (0.209)	DT 0.000 (0.012)	loss 4.386 (4.388)
Train: [2][190/1040]	BT 0.198 (0.208)	DT 0.000 (0.012)	loss 4.550 (4.387)
Train: [2][200/1040]	BT 0.197 (0.208)	DT 0.000 (0.011)	loss 4.286 (4.388)
Train: [2][210/1040]	BT 0.199 (0.207)	DT 0.000 (0.011)	loss 4.416 (4.384)
Train: [2][220/1040]	BT 0.197 (0.207)	DT 0.000 (0.010)	loss 4.545 (4.386)
Train: [2][230/1040]	BT 0.198 (0.206)	DT 0.000 (0.010)	loss 4.455 (4.385)
Train: [2][240/1040]	BT 0.197 (0.206)	DT 0.000 (0.009)	loss 4.364 (4.383)
Train: [2][250/1040]	BT 0.197 (0.206)	DT 0.000 (0.009)	loss 4.417 (4.382)
Train: [2][260/1040]	BT 0.196 (0.205)	DT 0.000 (0.009)	loss 4.372 (4.383)
Train: [2][270/1040]	BT 0.196 (0.205)	DT 0.000 (0.008)	loss 4.555 (4.382)
Train: [2][280/1040]	BT 0.196 (0.205)	DT 0.000 (0.008)	loss 4.367 (4.383)
Train: [2][290/1040]	BT 0.196 (0.204)	DT 0.000 (0.008)	loss 4.398 (4.382)
Train: [2][300/1040]	BT 0.196 (0.204)	DT 0.000 (0.008)	loss 4.227 (4.382)
Train: [2][310/1040]	BT 0.196 (0.204)	DT 0.000 (0.007)	loss 4.354 (4.381)
Train: [2][320/1040]	BT 0.196 (0.204)	DT 0.000 (0.007)	loss 4.391 (4.379)
Train: [2][330/1040]	BT 0.196 (0.203)	DT 0.000 (0.007)	loss 4.457 (4.378)
Train: [2][340/1040]	BT 0.196 (0.203)	DT 0.000 (0.007)	loss 4.418 (4.378)
