pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [10][40/97]	BT 0.196 (0.246)	DT 0.000 (0.049)	loss 4.826 (4.826)
Train: [10][50/97]	BT 0.196 (0.236)	DT 0.000 (0.039)	loss 4.705 (4.816)
Train: [10][60/97]	BT 0.196 (0.229)	DT 0.000 (0.032)	loss 4.849 (4.821)
Train: [10][70/97]	BT 0.195 (0.224)	DT 0.000 (0.028)	loss 4.977 (4.826)
Train: [10][80/97]	BT 0.195 (0.221)	DT 0.000 (0.024)	loss 4.826 (4.833)
Train: [10][90/97]	BT 0.195 (0.218)	DT 0.000 (0.022)	loss 4.904 (4.834)
Train epoch 10, total time 20.95, loss 4.829
Train: [11][10/97]	BT 0.197 (0.381)	DT 0.000 (0.182)	loss 4.773 (4.797)
Train: [11][20/97]	BT 0.198 (0.289)	DT 0.000 (0.091)	loss 4.757 (4.775)
Train: [11][30/97]	BT 0.196 (0.258)	DT 0.000 (0.061)	loss 4.728 (4.768)
Train: [11][40/97]	BT 0.196 (0.243)	DT 0.000 (0.046)	loss 4.716 (4.765)
Train: [11][50/97]	BT 0.198 (0.233)	DT 0.000 (0.037)	loss 4.726 (4.758)
Train: [11][60/97]	BT 0.198 (0.228)	DT 0.000 (0.030)	loss 4.759 (4.760)
Train: [11][70/97]	BT 0.197 (0.223)	DT 0.000 (0.026)	loss 4.776 (4.756)
Train: [11][80/97]	BT 0.197 (0.220)	DT 0.000 (0.023)	loss 4.706 (4.751)
Train: [11][90/97]	BT 0.197 (0.217)	DT 0.000 (0.020)	loss 4.730 (4.752)
Train epoch 11, total time 20.92, loss 4.750
Train: [12][10/97]	BT 0.200 (0.493)	DT 0.000 (0.292)	loss 4.565 (4.707)
Train: [12][20/97]	BT 0.196 (0.345)	DT 0.000 (0.146)	loss 4.723 (4.716)
Train: [12][30/97]	BT 0.196 (0.295)	DT 0.000 (0.098)	loss 4.604 (4.712)
Train: [12][40/97]	BT 0.196 (0.270)	DT 0.000 (0.073)	loss 4.696 (4.715)
Train: [12][50/97]	BT 0.196 (0.256)	DT 0.000 (0.059)	loss 4.742 (4.709)
Train: [12][60/97]	BT 0.195 (0.246)	DT 0.000 (0.049)	loss 4.693 (4.711)
Train: [12][70/97]	BT 0.196 (0.239)	DT 0.000 (0.042)	loss 4.691 (4.710)
Train: [12][80/97]	BT 0.195 (0.233)	DT 0.000 (0.037)	loss 4.582 (4.714)
Train: [12][90/97]	BT 0.195 (0.229)	DT 0.000 (0.033)	loss 4.650 (4.708)
Train epoch 12, total time 21.96, loss 4.705
