pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|█████████████████████████| 53/53 [00:42<00:00,  1.25it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.63it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126492 number of indices sampled from imagenet.
new epoch: 2
Train: [1][750/1041]	BT 0.196 (0.239)	DT 0.000 (0.003)	loss 4.869 (5.375)
Train: [1][760/1041]	BT 0.196 (0.238)	DT 0.000 (0.003)	loss 4.860 (5.370)
Train: [1][770/1041]	BT 0.196 (0.238)	DT 0.000 (0.003)	loss 5.074 (5.365)
Train: [1][780/1041]	BT 0.196 (0.237)	DT 0.000 (0.003)	loss 5.017 (5.359)
Train: [1][790/1041]	BT 0.196 (0.237)	DT 0.000 (0.003)	loss 4.950 (5.355)
Train: [1][800/1041]	BT 0.198 (0.236)	DT 0.000 (0.003)	loss 4.930 (5.349)
Train: [1][810/1041]	BT 0.199 (0.236)	DT 0.000 (0.003)	loss 4.799 (5.343)
Train: [1][820/1041]	BT 0.200 (0.235)	DT 0.000 (0.003)	loss 5.027 (5.339)
Train: [1][830/1041]	BT 0.198 (0.235)	DT 0.000 (0.003)	loss 4.840 (5.334)
Train: [1][840/1041]	BT 0.199 (0.235)	DT 0.000 (0.003)	loss 5.148 (5.328)
Train: [1][850/1041]	BT 0.196 (0.234)	DT 0.000 (0.003)	loss 4.810 (5.323)
Train: [1][860/1041]	BT 0.196 (0.234)	DT 0.000 (0.003)	loss 4.889 (5.318)
Train: [1][870/1041]	BT 0.196 (0.233)	DT 0.000 (0.003)	loss 4.942 (5.313)
Train: [1][880/1041]	BT 0.197 (0.233)	DT 0.000 (0.003)	loss 4.846 (5.308)
Train: [1][890/1041]	BT 0.197 (0.232)	DT 0.000 (0.003)	loss 4.832 (5.304)
Train: [1][900/1041]	BT 0.196 (0.232)	DT 0.000 (0.003)	loss 4.854 (5.299)
Train: [1][910/1041]	BT 0.196 (0.232)	DT 0.000 (0.003)	loss 4.855 (5.294)
Train: [1][920/1041]	BT 0.196 (0.231)	DT 0.000 (0.003)	loss 4.750 (5.288)
Train: [1][930/1041]	BT 0.196 (0.231)	DT 0.000 (0.003)	loss 4.800 (5.283)
Train: [1][940/1041]	BT 0.196 (0.231)	DT 0.000 (0.003)	loss 4.771 (5.278)
Train: [1][950/1041]	BT 0.196 (0.230)	DT 0.000 (0.003)	loss 4.787 (5.273)
Train: [1][960/1041]	BT 0.196 (0.230)	DT 0.000 (0.003)	loss 4.844 (5.269)
Train: [1][970/1041]	BT 0.196 (0.229)	DT 0.000 (0.003)	loss 4.708 (5.264)
Train: [1][980/1041]	BT 0.196 (0.229)	DT 0.000 (0.003)	loss 4.690 (5.260)
Train: [1][990/1041]	BT 0.197 (0.229)	DT 0.000 (0.003)	loss 4.848 (5.255)
Train: [1][1000/1041]	BT 0.196 (0.228)	DT 0.000 (0.003)	loss 4.685 (5.251)
Train: [1][1010/1041]	BT 0.202 (0.228)	DT 0.000 (0.002)	loss 4.615 (5.246)
Train: [1][1020/1041]	BT 0.198 (0.228)	DT 0.000 (0.002)	loss 4.718 (5.242)
Train: [1][1030/1041]	BT 0.198 (0.228)	DT 0.000 (0.002)	loss 4.612 (5.237)
Train: [1][1040/1041]	BT 0.197 (0.227)	DT 0.000 (0.002)	loss 4.665 (5.233)
Train epoch 1, total time 252.94, loss 5.232
Train: [2][10/1041]	BT 0.198 (0.360)	DT 0.000 (0.160)	loss 4.862 (4.854)
Train: [2][20/1041]	BT 0.199 (0.279)	DT 0.000 (0.080)	loss 4.695 (4.803)
Train: [2][30/1041]	BT 0.197 (0.252)	DT 0.000 (0.053)	loss 4.908 (4.789)
Train: [2][40/1041]	BT 0.197 (0.238)	DT 0.000 (0.040)	loss 4.702 (4.773)
Train: [2][50/1041]	BT 0.197 (0.230)	DT 0.000 (0.032)	loss 4.717 (4.771)
Train: [2][60/1041]	BT 0.197 (0.225)	DT 0.000 (0.027)	loss 4.604 (4.770)
Train: [2][70/1041]	BT 0.198 (0.221)	DT 0.000 (0.023)	loss 4.883 (4.772)
Train: [2][80/1041]	BT 0.197 (0.218)	DT 0.000 (0.020)	loss 4.907 (4.775)
Train: [2][90/1041]	BT 0.197 (0.216)	DT 0.000 (0.018)	loss 4.866 (4.777)
Train: [2][100/1041]	BT 0.200 (0.214)	DT 0.000 (0.016)	loss 4.819 (4.778)
Train: [2][110/1041]	BT 0.198 (0.212)	DT 0.000 (0.015)	loss 4.907 (4.777)
Train: [2][120/1041]	BT 0.196 (0.211)	DT 0.000 (0.014)	loss 4.818 (4.777)
Train: [2][130/1041]	BT 0.196 (0.210)	DT 0.000 (0.012)	loss 4.823 (4.777)
Train: [2][140/1041]	BT 0.196 (0.209)	DT 0.000 (0.012)	loss 4.767 (4.774)
Train: [2][150/1041]	BT 0.198 (0.208)	DT 0.000 (0.011)	loss 4.828 (4.774)
Train: [2][160/1041]	BT 0.196 (0.207)	DT 0.000 (0.010)	loss 4.723 (4.772)
Train: [2][170/1041]	BT 0.196 (0.207)	DT 0.000 (0.010)	loss 4.697 (4.774)
Train: [2][180/1041]	BT 0.196 (0.206)	DT 0.000 (0.009)	loss 4.680 (4.773)
Train: [2][190/1041]	BT 0.197 (0.206)	DT 0.000 (0.009)	loss 4.859 (4.769)
Train: [2][200/1041]	BT 0.196 (0.205)	DT 0.000 (0.008)	loss 4.798 (4.770)
Train: [2][210/1041]	BT 0.196 (0.205)	DT 0.000 (0.008)	loss 4.801 (4.770)
Train: [2][220/1041]	BT 0.196 (0.204)	DT 0.000 (0.007)	loss 4.804 (4.772)
Train: [2][230/1041]	BT 0.196 (0.204)	DT 0.000 (0.007)	loss 4.811 (4.773)
Train: [2][240/1041]	BT 0.197 (0.204)	DT 0.000 (0.007)	loss 4.658 (4.771)
Train: [2][250/1041]	BT 0.196 (0.203)	DT 0.000 (0.007)	loss 4.671 (4.773)
Train: [2][260/1041]	BT 0.196 (0.203)	DT 0.000 (0.006)	loss 4.701 (4.771)
Train: [2][270/1041]	BT 0.196 (0.203)	DT 0.000 (0.006)	loss 4.768 (4.770)
Train: [2][280/1041]	BT 0.197 (0.203)	DT 0.000 (0.006)	loss 4.939 (4.770)
Train: [2][290/1041]	BT 0.200 (0.202)	DT 0.000 (0.006)	loss 4.909 (4.770)
Train: [2][300/1041]	BT 0.200 (0.202)	DT 0.000 (0.005)	loss 4.859 (4.770)
Train: [2][310/1041]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.742 (4.773)
Train: [2][320/1041]	BT 0.197 (0.202)	DT 0.000 (0.005)	loss 4.937 (4.774)
Train: [2][330/1041]	BT 0.197 (0.202)	DT 0.000 (0.005)	loss 4.776 (4.775)
Train: [2][340/1041]	BT 0.198 (0.202)	DT 0.000 (0.005)	loss 4.712 (4.775)
Train: [2][350/1041]	BT 0.196 (0.202)	DT 0.000 (0.005)	loss 4.668 (4.775)
Train: [2][360/1041]	BT 0.196 (0.201)	DT 0.000 (0.005)	loss 4.735 (4.774)
Train: [2][370/1041]	BT 0.196 (0.201)	DT 0.000 (0.004)	loss 4.783 (4.774)
Train: [2][380/1041]	BT 0.197 (0.201)	DT 0.000 (0.004)	loss 4.735 (4.773)
