Train: [11][40/105]	BT 0.200 (0.229)	DT 0.000 (0.025)	loss 3.765 (4.027)
Train: [11][50/105]	BT 0.200 (0.224)	DT 0.000 (0.020)	loss 3.997 (4.007)
Train: [11][60/105]	BT 0.200 (0.221)	DT 0.000 (0.017)	loss 3.922 (4.010)
Train: [11][70/105]	BT 0.202 (0.216)	DT 0.000 (0.014)	loss 4.023 (4.000)
Train: [11][80/105]	BT 0.206 (0.215)	DT 0.000 (0.012)	loss 3.982 (4.000)
Train: [11][90/105]	BT 0.205 (0.214)	DT 0.000 (0.011)	loss 3.940 (4.000)
Train: [11][100/105]	BT 0.207 (0.213)	DT 0.000 (0.010)	loss 4.156 (3.999)
Train epoch 11, total time 22.15, loss 3.996
Train: [12][10/105]	BT 0.199 (0.363)	DT 0.000 (0.159)	loss 4.048 (3.979)
Train: [12][20/105]	BT 0.204 (0.284)	DT 0.000 (0.080)	loss 3.976 (3.979)
Train: [12][30/105]	BT 0.204 (0.257)	DT 0.000 (0.053)	loss 4.006 (4.033)
Train: [12][40/105]	BT 0.203 (0.244)	DT 0.000 (0.040)	loss 3.889 (4.018)
Train: [12][50/105]	BT 0.206 (0.236)	DT 0.000 (0.032)	loss 3.837 (4.017)
Train: [12][60/105]	BT 0.206 (0.231)	DT 0.000 (0.027)	loss 4.026 (4.014)
Train: [12][70/105]	BT 0.206 (0.227)	DT 0.000 (0.023)	loss 3.955 (4.005)
Train: [12][80/105]	BT 0.206 (0.223)	DT 0.000 (0.020)	loss 4.148 (3.994)
Train: [12][90/105]	BT 0.207 (0.221)	DT 0.000 (0.018)	loss 4.113 (3.994)
Train: [12][100/105]	BT 0.207 (0.219)	DT 0.000 (0.016)	loss 4.089 (4.004)
Train epoch 12, total time 22.79, loss 4.004
Train: [13][10/105]	BT 0.203 (0.305)	DT 0.000 (0.101)	loss 3.873 (3.975)
Train: [13][20/105]	BT 0.206 (0.255)	DT 0.000 (0.051)	loss 3.967 (3.977)
Train: [13][30/105]	BT 0.206 (0.238)	DT 0.000 (0.034)	loss 4.044 (3.948)
Train: [13][40/105]	BT 0.205 (0.230)	DT 0.000 (0.025)	loss 3.905 (3.924)
Train: [13][50/105]	BT 0.206 (0.225)	DT 0.000 (0.020)	loss 3.848 (3.916)
Train: [13][60/105]	BT 0.206 (0.221)	DT 0.000 (0.017)	loss 3.924 (3.918)
Train: [13][70/105]	BT 0.206 (0.219)	DT 0.000 (0.015)	loss 3.859 (3.921)
Train: [13][80/105]	BT 0.206 (0.217)	DT 0.000 (0.013)	loss 3.855 (3.920)
Train: [13][90/105]	BT 0.207 (0.216)	DT 0.000 (0.011)	loss 3.951 (3.926)
Train: [13][100/105]	BT 0.200 (0.213)	DT 0.000 (0.010)	loss 3.916 (3.926)
Train epoch 13, total time 22.18, loss 3.922
Train: [14][10/105]	BT 0.206 (0.306)	DT 0.000 (0.102)	loss 3.902 (3.917)
Train: [14][20/105]	BT 0.207 (0.255)	DT 0.000 (0.051)	loss 3.894 (3.914)
Train: [14][30/105]	BT 0.206 (0.238)	DT 0.000 (0.034)	loss 3.775 (3.921)
Train: [14][40/105]	BT 0.207 (0.230)	DT 0.000 (0.026)	loss 3.868 (3.921)
Train: [14][50/105]	BT 0.207 (0.225)	DT 0.000 (0.020)	loss 3.854 (3.912)
